Mida;Cerca seqüencial;Cerca dicotòmica
1000;502;9
1500;737;10
2000;1029;10
2500;1252;11
3000;1515;11
3500;1756;11
4000;1964;11
4500;2239;12
5000;2503;12
5500;2731;12
6000;2968;12
6500;3239;12
7000;3487;12
7500;3738;12
8000;3938;12
8500;4257;13
9000;4521;13
9500;4770;13
10000;4957;13
10500;5240;13
11000;5500;13
11500;5793;13
12000;5873;13
12500;6346;13
13000;6457;13
13500;6840;13
14000;7060;13
14500;7247;13
15000;7457;13
15500;7758;13
16000;7872;13
16500;8417;14
17000;8314;14
17500;8709;14
18000;9063;14
18500;9245;14
19000;9514;14
19500;9620;14
20000;10071;14
20500;10097;14
21000;10631;14
21500;10769;14
22000;10882;14
22500;11291;14
23000;11313;14
23500;11725;14
24000;11793;14
24500;12269;14
25000;12562;14
25500;12771;14
26000;13077;14
26500;13343;14
27000;13562;14
27500;13665;14
28000;13865;14
28500;14168;14
29000;14551;14
29500;14857;14
30000;14878;14
30500;15253;14
31000;15438;14
31500;15754;14
32000;16015;14
32500;16250;14
33000;16510;15
33500;16724;15
34000;16892;15
34500;17425;15
35000;17339;15
35500;17698;15
36000;17975;15
36500;18170;15
37000;18628;15
37500;18760;15
38000;19184;15
38500;19233;15
39000;19461;15
39500;19659;15
40000;20076;15
40500;20232;15
41000;20400;15
41500;20706;15
42000;20848;15
42500;21329;15
43000;21532;15
43500;21785;15
44000;22008;15
44500;22050;15
45000;22502;15
45500;22547;15
46000;22999;15
46500;22917;15
47000;23524;15
47500;23457;15
48000;23922;15
48500;24090;15
49000;24368;15
49500;24639;15
50000;24810;15
50500;25154;15
51000;25498;15
51500;25772;15
52000;26093;15
52500;26236;15
53000;26240;15
53500;26657;15
54000;27042;15
54500;27366;15
55000;27523;15
55500;27708;15
56000;28214;15
56500;28137;15
57000;28551;15
57500;28651;15
58000;29171;15
58500;29318;15
59000;29517;15
59500;29659;15
60000;30222;15
60500;30025;15
61000;30531;15
61500;30597;15
62000;31002;15
62500;31228;15
63000;31555;15
63500;31462;15
64000;31979;15
64500;32065;15
65000;32451;15
65500;32657;15
66000;33290;16
66500;33156;16
67000;33585;16
67500;33514;16
68000;34078;16
68500;34159;16
69000;34671;16
69500;34659;16
70000;35226;16
70500;35302;16
71000;35718;16
71500;35769;16
72000;36002;16
72500;36231;16
73000;36618;16
73500;36764;16
74000;37347;16
74500;37266;16
75000;37472;16
75500;37753;16
76000;37866;16
76500;38349;16
77000;38433;16
77500;38677;16
78000;38797;16
78500;39202;16
79000;39368;16
79500;39822;16
80000;39967;16
80500;40061;16
81000;40368;16
81500;40447;16
82000;40891;16
82500;41223;16
83000;41658;16
83500;41504;16
84000;41919;16
84500;41942;16
85000;42297;16
85500;42729;16
86000;42928;16
86500;43071;16
87000;43400;16
87500;43679;16
88000;43886;16
88500;44156;16
89000;44441;16
89500;44768;16
90000;45344;16
90500;45234;16
91000;45454;16
91500;45870;16
92000;46191;16
92500;46417;16
93000;46419;16
93500;47053;16
94000;47052;16
94500;47374;16
95000;47195;16
95500;47552;16
96000;48178;16
96500;48227;16
97000;48489;16
97500;48704;16
98000;48834;16
98500;49047;16
99000;49905;16
99500;49783;16
100000;50006;16
